LAIKA1,778.29,29.79,2170.63,-0.72,0.05,-1.07,844,-284,14952,0.05,-0.02,0.91,0.00,0.00,0.00,
LAIKA1,778.58,32.37,2167.61,-0.61,-0.11,-0.73,804,-244,15236,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.77,33.68,2165.64,-0.79,0.14,-0.90,828,-192,15008,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.83,34.45,2165.04,-0.71,0.08,-0.97,744,-232,15100,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.84,34.97,2164.99,-0.69,-0.03,-0.92,800,-196,15164,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.82,35.32,2165.16,-0.73,-0.11,-0.92,748,-220,15068LAIKA1,778.89,35.63,2164.47,-0.82,0.17,-0.72,808,-280,15008,0.05,-0.02,0.92,0.00,0.005,768,-216,15036,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.79,36.46,2165.53,-0.68LAIKA1,778.88,36.96,2164.53,-0.79,0.15,-0.87,748,-208,14972,0.05,-0.01,0.91,0.00,0.0LAIKA1,778.81,37.19,2165.24,-0.63,-0.08,-1.10,820,-200,15248,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.78,37.27,2165.61,-0.77,0.01,-0.76,836,-260,14912,0.05,-0.02,0.91,0.00,0.00,0.00,
LAIKA1,778.94,37.47,2163.99,-0.78,0.09,-1.08,744,-212,15156,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.92,37.49,2164.17,-0.65,0.06,-0.80,848,-308,15068,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.91,38.73,2164.29,-0.65,-0.03,-0.81,824,-244,15064,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.92,38.76,2164.17,-0.63,0.00,-0.83,780,-180,15184,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.72,38.60,2166.22,-0.73,0.08,-0.86,720,-192,15212,0.04,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.76,38.65,2165.82,-0.73,-0.02,-0.92,840,-260,15160,0.05,-0.02,0.93,0.00,0.00,0.00,
LAIKA1,778.84,38.70,2165.02,-0.76,0.01,-0.77,768,-280,15092,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.86,38.77,2164.73,-0.84,-0.02,-0.91,784,-188,15180,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.90,38.82,2164.38,-0.61,0.03,-0.89,812,-216,15240,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.91,38.85,2164.27,-0.73,-0.17,-0.82,716,-232,15120,0.04,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.92,38.88,2164.11,-0.64,0.07,-0.95,808,-216,15232,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.92,38.92,2164.17,-0.66,0.05,-0.89,804,-236,15072,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.93,38.95,2164.03,-0.76,-0.11,-1.08,788,-240,15020,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.94,38.98,2163.98,-0.62,-0.12,-1.04,780,-300,15244,0.05,-0.02,0.93,0.00,0.00,0.00,
LAIKA1,778.92,39.01,2164.12,-0.84,0.05,-0.76,808,-164,15236,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.92,39.05,2166.23,-0.73,0.03,-1.06,672,-372,14956,0.04,-0.02,0.91,0.00,0.00,0.00,
LAIKA1,778.74,38.89,2165.98,-0.76,0.04,-1.03,772,-248,15196,0.05,-0.02,0.93,0.00,0.00,0.00,
LAIKA1,778.80,38.97,2165.39,-0.68,-0.08,-1.02,860,-252,15244,0.05,-0.02,0.93,0.00,0.00,0.00,
LAIKA1,778.85,39.00,2164.91,-0.78,-0.21,-0.99,760,-188,15160,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.90,39.05,2164.37,-0.73,0.00,-0.82,796,-248,15128,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.91,39.08,2164.25,-0.61,-0.06,-0.97,916,-188,15012,0.06,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.92,39.10,2164.10,-0.70,0.06,-0.87,832,-200,15164,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.90,39.16,2164.32,-0.77,-0.05,-0.98,828,-288,15092,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.94,39.21,2163.91,-0.81,-0.05,-0.91,692,-284,15032,0.04,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.89,39.21,2164.47,-0.69,0.17,-0.67,768,-216,15232,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.94,39.26,2163.91,-0.83,0.05,-0.66,772,-308,15168,0.05,-0.02,0.93,0.00,0.00,0.00,
LAIKA1,778.88,39.26,2164.52,-0.68,-0.05,-0.87,844,-220,15080,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.74,39.12,2165.96,-0.89,-0.14,-1.02,748,-268,15192,0.05,-0.02,0.93,0.00,0.00,0.00,
LAIKA1,778.78,39.17,2165.58,-0.76,0.01,-1.03,820,-300,15128,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.85,39.22,2164.87,-0.64,-0.03,-0.84,780,-208,14992,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.90,39.26,2164.33,-0.77,0.04,-0.77,800,-208,15140,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.91,39.29,2164.29,-0.74,0.08,-0.89,844,-116,15024,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.93,39.31,2164.05,-0.69,0.18,-1.00,776,-236,15048,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.92,39.34,2164.17,-0.74,0.04,-0.89,840,-220,15108,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.91,39.36,2164.25,-0.80,0.09,-0.69,808,-324,15128,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.92,39.40,2164.12,-0.82,-0.03,-0.94,664,-260,15172,0.04,-0.02,0.93,0.00,0.00,0.00,
LAIKA1,778.93,39.42,2164.02,-0.71,0.01,-1.11,876,-244,15244,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.94,39.45,2163.91,-0.69,-0.09,-0.95,820,-316,15016,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.93,39.27,2166.04,-0.58,0.10,-0.86,692,-240,15148,0.04,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.78,39.31,2165.56,-0.84,-0.10,-0.82,792,-252,15028,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.83,39.36,2165.12,-0.84,-0.05,-0.88,836,-132,15160,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.87,39.41,2164.65,-0.78,-0.08,-1.13,800,-308,15104,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.91,39.46,2164.25,-0.73,0.08,-1.05,692,-216,15096,0.04,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.92,39.49,2164.15,-0.73,-0.14,-1.17,816,-212,15076,0.05,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.92,39.51,2164.13,-0.71,0.02,-0.94,880,-232,15248,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.91,39.53,2164.25,-0.73,-0.03,-0.89,736,-236,15212,0.04,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.93,39.56,2164.08,-0.63,0.04,-1.05,744,-192,15252,0.05,-0.01,0.93,0.00,0.00,0.00,
LAIKA1,778.93,39.59,2164.03,-0.82,-0.11,-0.72,800,-260,15180,0.05,-0.02,0.93,0.00,0.00,0.00,
LAIKA1,778.93,39.61,2164.00,-0.77,0.14,-0.78,796,-268,15144,0.05,-0.02,0.92,0.00,0.00,0.00,
LAIKA1,778.89,39.65,2164.45,-0.71,-0.04,-0.92,696,-232,15052,0.04,-0.01,0.92,0.00,0.00,0.00,
LAIKA1,778.73,39.47,2166.05,-0.70,0.08,-0.82,812,-256,15008,0.05,-0.02,0.92,0.00,0.00,0.00,
